Year,Country,NUTS2_Code,Econ_Freedom,Pop,GDP_Millions_Euro,Total_Household_Income,Tourism_NightStays,Flight_Arrivals,Year_PostBudget,Tourism_Employed
2007,AT,AT12,71.6,1588567,"44,580.08","37,183","3,778,322","9,351",0,
2008,AT,AT12,71.4,1595503,"46,347.70","38,636","3,920,959","9,817",0,
2009,AT,AT12,71.2,1602958,"45,200.08","37,745","4,072,806","9,010",0,
2010,AT,AT12,71.6,1605897,"46,285.87","38,191","4,185,274","9,808",0,
2011,AT,AT12,71.9,1609474,"48,511.32","39,605","4,249,819","10,524",0,
2012,AT,AT12,70.3,1614455,"49,802.60","41,242","4,284,345","11,066",0,
2013,AT,AT12,71.8,1618592,"50,470.13","41,494","4,181,192","10,979",0,
2014,AT,AT12,72.4,1625485,"52,049.38","42,434","4,292,359","11,188",0,
2015,AT,AT12,71.2,1636778,"53,849.85","43,332","4,263,872","11,317",1,
2016,AT,AT12,71.7,1653691,"55,318.99","44,185","4,296,231","11,612",1,
2017,AT,AT12,72.3,1665753,"57,349.11","45,363","4,370,345","12,128",1,
2007,AT,AT21,71.6,559393,"16,364.24","11,686","4,068,276",234,0,
2008,AT,AT21,71.4,559715,"16,762.73","12,032","4,061,380",217,0,
2009,AT,AT21,71.2,559462,"16,157.87","11,690","4,153,533",205,0,
2010,AT,AT21,71.6,557998,"16,582.06","11,733","4,104,182",213,0,
2011,AT,AT21,71.9,556718,"17,548.27","12,044","4,255,554",190,0,
2012,AT,AT21,70.3,556027,"17,771.87","12,568","4,277,493",138,0,
2013,AT,AT21,71.8,555473,"17,907.85","12,514","4,199,071",128,0,
2014,AT,AT21,72.4,555881,"18,419.82","12,866","4,133,621",112,0,
2015,AT,AT21,71.2,557641,"18,721.76","13,138","4,297,201",114,0,
2016,AT,AT21,71.7,560482,"19,169.50","13,218","4,572,466",98,0,
2017,AT,AT21,72.3,561077,"20,233.74","13,637","4,646,266",109,0,
2007,AT,AT22,71.6,1202483,"36,539.05","25,647","5,420,013",458,0,
2008,AT,AT22,71.4,1203701,"37,601.39","26,653","5,605,061",490,0,
2009,AT,AT22,71.2,1204795,"36,635.21","25,810","5,779,473",462,0,
2010,AT,AT22,71.6,1205045,"37,576.19","26,014","5,919,240",481,0,
2011,AT,AT22,71.9,1206611,"39,466.78","27,046","6,016,179",479,0,
2012,AT,AT22,70.3,1208696,"40,956","28,187","6,097,033",460,0,
2013,AT,AT22,71.8,1210971,"41,303.53","28,341","6,152,561",439,0,
2014,AT,AT22,72.4,1215246,"42,710.57","29,068","6,132,051",445,0,
2015,AT,AT22,71.2,1221570,"43,673.26","29,696","6,263,753",477,0,
2016,AT,AT22,71.7,1232012,"45,129.66","30,001","6,547,416",492,0,
2017,AT,AT22,72.3,1237298,"47,223.27","31,225","6,690,955",476,0,
2007,AT,AT31,71.6,1403663,"47,409.72","31,927","3,563,688",365,0,
2008,AT,AT31,71.4,1405762,"49,712.78","33,211","3,732,069",377,0,
2009,AT,AT31,71.2,1408619,"48,055.03","32,334","3,799,499",320,0,
2010,AT,AT31,71.6,1409253,"49,592.40","32,428","3,793,876",321,0,
2011,AT,AT31,71.9,1410222,"52,574.13","33,809","3,861,100",329,0,
2012,AT,AT31,70.3,1413866,"53,978.67","35,276","3,952,281",305,0,
2013,AT,AT31,71.8,1418498,"55,424.89","35,579","3,870,268",271,0,
2014,AT,AT31,72.4,1425422,"57,136.85","36,718","3,855,522",275,0,
2015,AT,AT31,71.2,1437251,"58,679.14","37,441","3,921,221",260,0,
2016,AT,AT31,71.7,1453948,"60,697.45","38,017","4,036,022",214,0,
2017,AT,AT31,72.3,1465045,"63,395.24","39,513","4,102,109",195,0,
2007,AT,AT32,71.6,526048,"20,895.93","12,228","4,737,133",955,0,
2008,AT,AT32,71.4,525944,"21,340.18","12,619","4,886,629",893,0,
2009,AT,AT32,71.2,526699,"20,852.16","12,366","4,941,937",765,0,
2010,AT,AT32,71.6,526730,"21,867.35","12,364","5,062,489",809,0,
2011,AT,AT32,71.9,527886,"22,947.39","12,805","5,138,655",847,0,
2012,AT,AT32,70.3,529704,"23,886.50","13,442","5,250,963",834,0,
2013,AT,AT32,71.8,531898,"23,965.79","13,591","5,296,685",831,0,
2014,AT,AT32,72.4,534270,"24,504.84","13,987","5,225,435",910,0,
2015,AT,AT32,71.2,538575,"25,615.29","14,401","5,358,130",913,0,
2016,AT,AT32,71.7,545815,"26,785.71","14,695","5,625,331",873,0,
2017,AT,AT32,72.3,549263,"27,618.47","15,206","5,779,749",951,1,
2007,AT,AT33,71.6,697253,"24,818.47","15,527","2,953,029",419,0,
2008,AT,AT33,71.4,699588,"25,318.72","16,069","3,050,925",476,0,
2009,AT,AT33,71.2,702502,"25,155.92","15,734","3,102,133",470,0,
2010,AT,AT33,71.6,704662,"25,591.41","15,817","3,195,815",513,0,
2011,AT,AT33,71.9,707517,"26,948.49","16,489","3,234,753",497,0,
2012,AT,AT33,70.3,711581,"28,190.68","17,413","3,381,506",467,0,
