"TIME","GEO","UNIT","Value","Flag and Footnotes"
"2007","BE10","Million euro","63,531.22",""
"2007","BE21","Million euro","65,818.48",""
"2007","BE22","Million euro","22,037.06",""
"2007","BE23","Million euro","40,725.39",""
"2007","BE24","Million euro","35,854.01",""
"2007","BE25","Million euro","35,608.76",""
"2007","BE31","Million euro","12,583.32",""
"2007","BE32","Million euro","27,398.38",""
"2007","BE33","Million euro","24,806.32",""
"2007","BE34","Million euro","5,745.14",""
"2007","BE35","Million euro","10,425.45",""
"2007","BEZZ","Million euro","178.98",""
"2007","BG31","Million euro","2,659.03",""
"2007","BG32","Million euro","2,801.09",""
"2007","BG33","Million euro","3,609.91",""
"2007","BG34","Million euro","3,884.73",""
"2007","BG41","Million euro","14,784",""
"2007","BG42","Million euro","4,710.35",""
"2007","CZ01","Million euro","34,851.67",""
"2007","CZ02","Million euro","14,976.87",""
"2007","CZ03","Million euro","14,112.21",""
"2007","CZ04","Million euro","11,815.76",""
"2007","CZ05","Million euro","16,512.32",""
"2007","CZ06","Million euro","19,504.77",""
"2007","CZ07","Million euro","12,708.34",""
"2007","CZ08","Million euro","13,820.92",""
"2007","DK01","Million euro","84,035.62",""
"2007","DK02","Million euro","24,453.88",""
"2007","DK03","Million euro","45,666.54",""
"2007","DK04","Million euro","48,318.22",""
"2007","DK05","Million euro","21,431.48",""
"2007","DKZZ","Million euro","9,477.48",""
"2007","DE11","Million euro","158,946.4",""
"2007","DE12","Million euro","95,445.7",""
"2007","DE13","Million euro","64,430.36",""
"2007","DE14","Million euro","58,304.36",""
"2007","DE21","Million euro","190,234.77",""
"2007","DE22","Million euro","33,943.7",""
"2007","DE23","Million euro","32,316.71",""
"2007","DE24","Million euro","28,982.61",""
"2007","DE25","Million euro","54,975.81",""
"2007","DE26","Million euro","40,321.67",""
"2007","DE27","Million euro","52,787.52",""
"2007","DE30","Million euro","94,674.55",""
"2007","DE40","Million euro","53,004.02",""
"2007","DE50","Million euro","27,285.62",""
"2007","DE60","Million euro","92,386.99",""
"2007","DE71","Million euro","163,380.32",""
"2007","DE72","Million euro","28,985.87",""
"2007","DE73","Million euro","35,097.27",""
"2007","DE80","Million euro","33,484.74",""
"2007","DE91","Million euro","49,440.52",""
"2007","DE92","Million euro","63,180.37",""
"2007","DE93","Million euro","35,492.22",""
"2007","DE94","Million euro","65,304.61",""
"2007","DEA1","Million euro","178,344.71",""
"2007","DEA2","Million euro","148,656.41",""
"2007","DEA3","Million euro","69,751.52",""
"2007","DEA4","Million euro","60,830.53",""
"2007","DEA5","Million euro","100,419.47",""
"2007","DEB1","Million euro","39,034.24",""
"2007","DEB2","Million euro","12,293.35",""
"2007","DEB3","Million euro","58,121.34",""
"2007","DEC0","Million euro","31,353.02",""
"2007","DED2","Million euro","37,270.7",""
"2007","DED4","Million euro","32,843.22",""
"2007","DED5","Million euro","22,839.63",""
"2007","DEE0","Million euro","50,152.98",""
"2007","DEF0","Million euro","71,983.88",""
"2007","DEG0","Million euro","46,928.27",""
"2007","EE00","Million euro","16,246.4",""
"2007","IE04","Million euro","23,634.85",""
"2007","IE05","Million euro","64,213.24",""
"2007","IE06","Million euro","109,354",""
"2007","EL51","Million euro","8,906.26",""
"2007","EL52","Million euro","31,951.55",""
"2007","EL53","Million euro","4,978.84",""
"2007","EL54","Million euro","5,028.61",""
"2007","EL61","Million euro","11,752.2",""
"2007","EL62","Million euro","4,285.3",""
"2007","EL63","Million euro","11,243.68",""
"2007","EL64","Million euro","10,562.47",""
"2007","EL65","Million euro","9,789.69",""
"2007","EL30","Million euro","112,007.91",""
"2007","EL41","Million euro","3,304.37",""
"2007","EL42","Million euro","7,683.25",""
"2007","EL43","Million euro","11,200.47",""
"2007","ES11","Million euro","56,233.89",""
"2007","ES12","Million euro","23,239.37",""
"2007","ES13","Million euro","12,845.74",""
"2007","ES21","Million euro","65,091.94",""
"2007","ES22","Million euro","17,958.62",""
"2007","ES23","Million euro","7,963.06",""
"2007","ES24","Million euro","34,228.25",""
"2007","ES30","Million euro","194,533.37",""
"2007","ES41","Million euro","55,831.5",""
"2007","ES42","Million euro","38,706.88",""
"2007","ES43","Million euro","17,482.46",""
"2007","ES51","Million euro","203,402.64",""
"2007","ES52","Million euro","105,192.64",""
"2007","ES53","Million euro","26,144.87",""
"2007","ES61","Million euro","148,644.78",""
"2007","ES62","Million euro","27,989.74",""
"2007","ES63","Million euro","1,521.35",""
"2007","ES64","Million euro","1,361.38",""
"2007","ES70","Million euro","41,656.27",""
"2007","ESZZ","Million euro","778.45",""
"2007","FR10","Million euro",":",""
"2007","FRB0","Million euro",":",""
"2007","FRC1","Million euro",":",""
"2007","FRC2","Million euro",":",""
"2007","FRD1","Million euro",":",""
"2007","FRD2","Million euro",":",""
"2007","FRE1","Million euro",":",""
"2007","FRE2","Million euro",":",""
"2007","FRF1","Million euro",":",""
"2007","FRF2","Million euro",":",""
"2007","FRF3","Million euro",":",""
"2007","FRG0","Million euro",":",""
"2007","FRH0","Million euro",":",""
"2007","FRI1","Million euro",":",""
"2007","FRI2","Million euro",":",""
"2007","FRI3","Million euro",":",""
"2007","FRJ1","Million euro",":",""
"2007","FRJ2","Million euro",":",""
"2007","FRK1","Million euro",":",""
"2007","FRK2","Million euro",":",""
"2007","FRL0","Million euro",":",""
"2007","FRM0","Million euro",":",""
"2007","FRY1","Million euro",":",""
"2007","FRY2","Million euro",":",""
"2007","FRY3","Million euro",":",""
"2007","FRY4","Million euro",":",""
"2007","FRY5","Million euro",":",""
"2007","FRZZ","Million euro",":",""
"2007","HR03","Million euro","14,255.15",""
"2007","HR04","Million euro","29,691.62",""
"2007","ITC1","Million euro","128,808.17",""
"2007","ITC2","Million euro","4,346.49",""
"2007","ITC3","Million euro","48,202.53",""
"2007","ITC4","Million euro","333,047.41",""
"2007","ITH1","Million euro","17,943.96",""
"2007","ITH2","Million euro","17,250.27",""
"2007","ITH3","Million euro","146,984.13",""
"2007","ITH4","Million euro","36,206.87",""
"2007","ITH5","Million euro","140,855.82",""
"2007","ITI1","Million euro","104,999.31",""
"2007","ITI2","Million euro","22,663.07",""
"2007","ITI3","Million euro","41,210.09",""
"2007","ITI4","Million euro","184,742.48",""
"2007","ITF1","Million euro","30,085.8",""
"2007","ITF2","Million euro","6,909.61",""
"2007","ITF3","Million euro","105,126.44",""
"2007","ITF4","Million euro","71,142.47",""
"2007","ITF5","Million euro","11,592.99",""
"2007","ITF6","Million euro","33,252.54",""
"2007","ITG1","Million euro","90,004.67",""
"2007","ITG2","Million euro","32,947.72",""
"2007","ITZZ","Million euro","1,227.62",""
"2007","CY00","Million euro","17,591.05",""
"2007","LV00","Million euro","22,654.47",""
"2007","LVZZ","Million euro","24.8",""
"2007","LT01","Million euro",":",""
"2007","LT02","Million euro",":",""
"2007","LU00","Million euro","37,178.87",""
"2007","HU11","Million euro","37,526.4",""
"2007","HU12","Million euro","11,163.97",""
"2007","HU21","Million euro","10,368.54",""
"2007","HU22","Million euro","9,879.41",""
"2007","HU23","Million euro","6,583.79",""
"2007","HU31","Million euro","8,052.77",""
"2007","HU32","Million euro","9,655.99",""
"2007","HU33","Million euro","8,938.28",""
"2007","HUZZ","Million euro","0",""
"2007","MT00","Million euro","5,744.89",""
"2007","MTZZ","Million euro","12.59",""
"2007","NL11","Million euro",":",""
"2007","NL12","Million euro",":",""
"2007","NL13","Million euro",":",""
"2007","NL21","Million euro",":",""
"2007","NL22","Million euro",":",""
"2007","NL23","Million euro",":",""
"2007","NL31","Million euro",":",""
"2007","NL32","Million euro",":",""
"2007","NL33","Million euro",":",""
"2007","NL34","Million euro",":",""
"2007","NL41","Million euro",":",""
"2007","NL42","Million euro",":",""
"2007","NLZZ","Million euro",":",""
"2007","AT11","Million euro","6,283",""
"2007","AT12","Million euro","44,580.08",""
"2007","AT13","Million euro","73,964.95",""
"2007","AT21","Million euro","16,364.24",""
"2007","AT22","Million euro","36,539.05",""
"2007","AT31","Million euro","47,409.72",""
"2007","AT32","Million euro","20,895.93",""
"2007","AT33","Million euro","24,818.47",""
"2007","AT34","Million euro","13,015.03",""
"2007","ATZZ","Million euro","108.62",""
"2007","PL21","Million euro",":",""
"2007","PL22","Million euro",":",""
"2007","PL41","Million euro",":",""
"2007","PL42","Million euro",":",""
"2007","PL43","Million euro",":",""
"2007","PL51","Million euro",":",""
"2007","PL52","Million euro",":",""
"2007","PL61","Million euro",":",""
"2007","PL62","Million euro",":",""
"2007","PL63","Million euro",":",""
"2007","PL71","Million euro",":",""
"2007","PL72","Million euro",":",""
"2007","PL81","Million euro",":",""
"2007","PL82","Million euro",":",""
"2007","PL84","Million euro",":",""
"2007","PL91","Million euro",":",""
"2007","PL92","Million euro",":",""
"2007","PT11","Million euro","49,219.74",""
"2007","PT15","Million euro","7,653.13",""
"2007","PT16","Million euro","33,206.86",""
"2007","PT17","Million euro","65,589.57",""
"2007","PT18","Million euro","11,818.85",""
"2007","PT20","Million euro","3,603.47",""
"2007","PT30","Million euro","4,305.81",""
"2007","PTZZ","Million euro","70.3",""
"2007","RO11","Million euro","15,357.72",""
"2007","RO12","Million euro","15,110.34",""
"2007","RO21","Million euro","13,800.72",""
"2007","RO22","Million euro","13,791",""
"2007","RO31","Million euro","15,917.27",""
"2007","RO32","Million euro","30,690.35",""
"2007","RO41","Million euro","10,232.95",""
"2007","RO42","Million euro","12,620.13",""
"2007","ROZZ","Million euro","111.55",""
"2007","SI03","Million euro","15,590.8",""
"2007","SI04","Million euro","19,561.79",""
"2007","SK01","Million euro","15,057.73",""
"2007","SK02","Million euro","18,823.11",""
"2007","SK03","Million euro","11,130.35",""
"2007","SK04","Million euro","11,230.44",""
"2007","FI19","Million euro","42,385.52",""
"2007","FI1B","Million euro","69,675.7",""
