"TIME","GEO","UNIT","DIRECT","NA_ITEM","Value","Flag and Footnotes"
"2007","BE21","Million euro","Balance","Balance of primary incomes/National income, net","40,211.4",""
"2007","BE24","Million euro","Balance","Balance of primary incomes/National income, net","29,778",""
"2007","BE25","Million euro","Balance","Balance of primary incomes/National income, net","25,601.8",""
"2007","BE32","Million euro","Balance","Balance of primary incomes/National income, net","22,434.1",""
"2007","BE33","Million euro","Balance","Balance of primary incomes/National income, net","19,511.3",""
"2007","BG33","Million euro","Balance","Balance of primary incomes/National income, net","2,087.84",""
"2007","BG34","Million euro","Balance","Balance of primary incomes/National income, net","2,454.36",""
"2007","BG41","Million euro","Balance","Balance of primary incomes/National income, net","6,905.93",""
"2007","CZ01","Million euro","Balance","Balance of primary incomes/National income, net","12,932.9",""
"2007","CZ04","Million euro","Balance","Balance of primary incomes/National income, net","7,343.05",""
"2007","CZ05","Million euro","Balance","Balance of primary incomes/National income, net","10,436.94",""
"2007","CZ06","Million euro","Balance","Balance of primary incomes/National income, net","11,810.6",""
"2007","CZ08","Million euro","Balance","Balance of primary incomes/National income, net","8,190.56",""
"2007","DK01","Million euro","Balance","Balance of primary incomes/National income, net","44,628.49",""
"2007","DK02","Million euro","Balance","Balance of primary incomes/National income, net","19,215.37",""
"2007","DK03","Million euro","Balance","Balance of primary incomes/National income, net","26,872.33",""
"2007","DK04","Million euro","Balance","Balance of primary incomes/National income, net","29,390.38",""
"2007","DK05","Million euro","Balance","Balance of primary incomes/National income, net","12,791.05",""
"2007","DE11","Million euro","Balance","Balance of primary incomes/National income, net","105,082.08",""
"2007","DE12","Million euro","Balance","Balance of primary incomes/National income, net","66,494.8",""
"2007","DE13","Million euro","Balance","Balance of primary incomes/National income, net","50,297.86",""
"2007","DE14","Million euro","Balance","Balance of primary incomes/National income, net","43,719.3",""
"2007","DE21","Million euro","Balance","Balance of primary incomes/National income, net","128,544.42",""
"2007","DE22","Million euro","Balance","Balance of primary incomes/National income, net","26,080.14",""
"2007","DE24","Million euro","Balance","Balance of primary incomes/National income, net","23,487.05",""
"2007","DE25","Million euro","Balance","Balance of primary incomes/National income, net","41,608.94",""
"2007","DE27","Million euro","Balance","Balance of primary incomes/National income, net","42,178.22",""
"2007","DE30","Million euro","Balance","Balance of primary incomes/National income, net","60,388.59",""
"2007","DE40","Million euro","Balance","Balance of primary incomes/National income, net","42,153.58",""
"2007","DE50","Million euro","Balance","Balance of primary incomes/National income, net","13,381.74",""
"2007","DE60","Million euro","Balance","Balance of primary incomes/National income, net","45,705.5",""
"2007","DE71","Million euro","Balance","Balance of primary incomes/National income, net","97,974.68",""
"2007","DE73","Million euro","Balance","Balance of primary incomes/National income, net","23,747.23",""
"2007","DE80","Million euro","Balance","Balance of primary incomes/National income, net","24,949.49",""
"2007","DE91","Million euro","Balance","Balance of primary incomes/National income, net","31,937.56",""
"2007","DE92","Million euro","Balance","Balance of primary incomes/National income, net","43,630.06",""
"2007","DE94","Million euro","Balance","Balance of primary incomes/National income, net","47,360.58",""
"2007","DEA1","Million euro","Balance","Balance of primary incomes/National income, net","115,576.56",""
"2007","DEA2","Million euro","Balance","Balance of primary incomes/National income, net","97,871.62",""
"2007","DEA3","Million euro","Balance","Balance of primary incomes/National income, net","52,495.86",""
"2007","DEA4","Million euro","Balance","Balance of primary incomes/National income, net","44,479.02",""
"2007","DEA5","Million euro","Balance","Balance of primary incomes/National income, net","77,373.19",""
"2007","DEB1","Million euro","Balance","Balance of primary incomes/National income, net","33,372.23",""
"2007","DEB2","Million euro","Balance","Balance of primary incomes/National income, net","11,285.4",""
"2007","DEB3","Million euro","Balance","Balance of primary incomes/National income, net","46,852.15",""
"2007","DEC0","Million euro","Balance","Balance of primary incomes/National income, net","20,160.16",""
"2007","DED2","Million euro","Balance","Balance of primary incomes/National income, net","25,456.93",""
"2007","DED5","Million euro","Balance","Balance of primary incomes/National income, net","15,446.38",""
"2007","DEE0","Million euro","Balance","Balance of primary incomes/National income, net","34,394.93",""
"2007","DEF0","Million euro","Balance","Balance of primary incomes/National income, net","60,433.68",""
"2007","DEG0","Million euro","Balance","Balance of primary incomes/National income, net","35,377.76",""
"2007","EE","Million euro","Balance","Balance of primary incomes/National income, net","8,887.4",""
"2007","IE04","Million euro","Balance","Balance of primary incomes/National income, net","14,184.66",""
"2007","IE05","Million euro","Balance","Balance of primary incomes/National income, net","31,160.53",""
"2007","IE06","Million euro","Balance","Balance of primary incomes/National income, net","53,430.54",""
"2007","EL51","Million euro","Balance","Balance of primary incomes/National income, net","6,718.14",""
"2007","EL52","Million euro","Balance","Balance of primary incomes/National income, net","23,528.01",""
"2007","EL53","Million euro","Balance","Balance of primary incomes/National income, net","3,454.54",""
"2007","EL54","Million euro","Balance","Balance of primary incomes/National income, net","3,969.33",""
"2007","EL61","Million euro","Balance","Balance of primary incomes/National income, net","8,953.72",""
"2007","EL62","Million euro","Balance","Balance of primary incomes/National income, net","2,652.55",""
"2007","EL63","Million euro","Balance","Balance of primary incomes/National income, net","7,928.66",""
"2007","EL64","Million euro","Balance","Balance of primary incomes/National income, net","6,826.67",""
"2007","EL65","Million euro","Balance","Balance of primary incomes/National income, net","7,162.78",""
"2007","EL30","Million euro","Balance","Balance of primary incomes/National income, net","68,853.05",""
"2007","EL41","Million euro","Balance","Balance of primary incomes/National income, net","2,430.91",""
"2007","EL42","Million euro","Balance","Balance of primary incomes/National income, net","4,348.66",""
"2007","EL43","Million euro","Balance","Balance of primary incomes/National income, net","7,934.44",""
"2007","ES11","Million euro","Balance","Balance of primary incomes/National income, net","36,255.8",""
"2007","ES12","Million euro","Balance","Balance of primary incomes/National income, net","15,282.5",""
"2007","ES13","Million euro","Balance","Balance of primary incomes/National income, net","8,682.1",""
"2007","ES21","Million euro","Balance","Balance of primary incomes/National income, net","42,406.7",""
"2007","ES22","Million euro","Balance","Balance of primary incomes/National income, net","11,980.6",""
"2007","ES23","Million euro","Balance","Balance of primary incomes/National income, net","5,098.5",""
"2007","ES24","Million euro","Balance","Balance of primary incomes/National income, net","22,266.3",""
"2007","ES30","Million euro","Balance","Balance of primary incomes/National income, net","127,058.8",""
"2007","ES41","Million euro","Balance","Balance of primary incomes/National income, net","36,826.3",""
"2007","ES42","Million euro","Balance","Balance of primary incomes/National income, net","25,629.2",""
"2007","ES43","Million euro","Balance","Balance of primary incomes/National income, net","11,702",""
"2007","ES51","Million euro","Balance","Balance of primary incomes/National income, net","132,660.6",""
"2007","ES52","Million euro","Balance","Balance of primary incomes/National income, net","67,857.4",""
"2007","ES53","Million euro","Balance","Balance of primary incomes/National income, net","17,368.5",""
"2007","ES61","Million euro","Balance","Balance of primary incomes/National income, net","95,851.3",""
"2007","ES62","Million euro","Balance","Balance of primary incomes/National income, net","17,979.1",""
"2007","ES63","Million euro","Balance","Balance of primary incomes/National income, net","1,039.4",""
"2007","ES64","Million euro","Balance","Balance of primary incomes/National income, net","942",""
"2007","ES70","Million euro","Balance","Balance of primary incomes/National income, net","26,885",""
"2007","ESZZ","Million euro","Balance","Balance of primary incomes/National income, net","542",""
"2007","FR10","Million euro","Balance","Balance of primary incomes/National income, net","330,129.4",""
"2007","FRB0","Million euro","Balance","Balance of primary incomes/National income, net","48,707.7",""
