freq;indic_de;geo\TIME_PERIOD,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 
A;CNMIGRATRT;AL01,: ,: ,: ,: ,: ,: ,: ,: ,-15.9 ,-10.8 ,-9.3 ,-12.6 
A;CNMIGRATRT;AL02,: ,: ,: ,: ,: ,: ,: ,: ,5.9 ,0.2 ,8.8 ,9.7 
A;CNMIGRATRT;AL03,: ,: ,: ,: ,: ,: ,: ,: ,-15.3 ,-12.6 ,-12.7 ,-17.4 
A;CNMIGRATRT;AT11,6.6 ,6.3 ,9.4 ,6.2 ,6.3 ,7.3 ,7.2 ,6.4 ,6.8 ,12.8 ,6.3 ,6.5 
A;CNMIGRATRT;AT12,5.7 ,5.4 ,5.6 ,3.3 ,3.3 ,4.2 ,4.2 ,5.8 ,8.1 ,11.9 ,8.2 ,4.1 
A;CNMIGRATRT;AT13,4.5 ,5.4 ,4.3 ,5.4 ,6.6 ,7.0 ,12.9 ,13.2 ,15.3 ,21.7 ,12.2 ,9.1 
A;CNMIGRATRT;AT21,1.0 ,1.7 ,0.7 ,-0.9 ,-0.7 ,0.4 ,1.1 ,2.8 ,5.0 ,7.6 ,3.0 ,1.8 
A;CNMIGRATRT;AT22,2.3 ,2.0 ,2.1 ,1.8 ,2.5 ,2.9 ,3.2 ,4.7 ,6.4 ,9.9 ,5.2 ,3.5 
A;CNMIGRATRT;AT31,1.3 ,0.6 ,0.9 ,-0.3 ,-0.3 ,1.8 ,2.5 ,4.4 ,7.0 ,10.9 ,5.9 ,4.6 
A;CNMIGRATRT;AT32,0.3 ,-2.1 ,-0.7 ,-1.3 ,0.4 ,2.0 ,2.5 ,3.0 ,5.9 ,11.6 ,4.2 ,3.9 
A;CNMIGRATRT;AT33,1.6 ,1.2 ,2.0 ,1.3 ,2.1 ,3.8 ,4.2 ,6.7 ,7.4 ,11.9 ,7.1 ,4.2 
A;CNMIGRATRT;AT34,0.8 ,0.3 ,0.5 ,0.4 ,-0.9 ,1.2 ,1.6 ,4.6 ,5.4 ,11.6 ,8.3 ,4.7 
A;CNMIGRATRT;BE10,5.6 ,9.9 ,11.0 ,10.9 ,18.3 ,11.6 ,4.2 ,-1.2 ,1.5 b,6.9 ,-9.3 ,-2.0 
A;CNMIGRATRT;BE21,5.2 ,6.7 ,6.2 ,5.3 ,8.5 ,7.0 ,3.9 ,2.4 ,3.3 b,4.9 ,3.5 ,4.3 
A;CNMIGRATRT;BE22,4.4 ,5.1 ,5.2 ,3.9 ,4.6 ,3.6 ,2.3 ,1.5 ,2.2 b,5.5 ,2.0 ,3.0 
A;CNMIGRATRT;BE23,4.9 ,5.9 ,6.5 ,6.5 ,7.5 ,4.9 ,3.2 ,4.4 ,4.1 b,6.3 ,5.7 ,5.0 
A;CNMIGRATRT;BE24,5.9 ,5.4 ,6.3 ,5.9 ,6.9 ,6.2 ,4.7 ,3.6 ,4.0 b,6.4 ,6.1 ,6.1 
A;CNMIGRATRT;BE25,3.4 ,3.9 ,4.0 ,3.8 ,5.0 ,5.1 ,3.4 ,2.9 ,3.4 b,4.4 ,4.3 ,5.1 
A;CNMIGRATRT;BE31,8.3 ,6.0 ,4.2 ,8.0 ,6.8 ,6.7 ,5.5 ,4.5 ,5.9 b,7.8 ,4.1 ,3.9 
A;CNMIGRATRT;BE32,3.3 ,3.7 ,3.3 ,4.2 ,5.3 ,4.7 ,4.4 ,2.7 ,2.6 b,3.5 ,1.6 ,2.1 
A;CNMIGRATRT;BE33,6.1 ,5.8 ,5.3 ,6.4 ,7.9 ,6.3 ,4.0 ,1.9 ,2.2 b,4.4 ,2.1 ,2.2 
A;CNMIGRATRT;BE34,7.2 ,8.2 ,8.7 ,6.2 ,5.8 ,8.0 ,4.4 ,-0.2 ,4.9 b,8.9 ,3.9 ,0.3 
A;CNMIGRATRT;BE35,5.8 ,5.6 ,5.6 ,6.4 ,8.0 ,6.7 ,3.7 ,2.5 ,4.9 b,6.6 ,4.1 ,2.6 
A;CNMIGRATRT;BG31,-8.9 ,-8.8 ,-8.8 ,-9.0 ,-8.9 ,-3.0 ,-4.3 ,-5.4 ,-5.0 ,-4.9 ,-6.7 ,-5.5 
A;CNMIGRATRT;BG32,-7.1 ,-6.7 ,-6.6 ,-6.2 ,-5.9 ,-2.1 ,-2.3 ,-2.6 ,-3.7 ,-3.3 ,-3.6 ,-3.3 
