"TIME","GEO","TRA_MEAS","UNIT","Value","Flag and Footnotes"
"2007","BE2","Passengers carried (arrival)","Thousand passengers","9,028",""
"2007","BE21","Passengers carried (arrival)","Thousand passengers","70",""
"2007","BE24","Passengers carried (arrival)","Thousand passengers","8,884",""
"2007","BE25","Passengers carried (arrival)","Thousand passengers","73",""
"2007","BE3","Passengers carried (arrival)","Thousand passengers","1,368",""
"2007","BE32","Passengers carried (arrival)","Thousand passengers","1,213",""
"2007","BE33","Passengers carried (arrival)","Thousand passengers","155",""
"2007","BG33","Passengers carried (arrival)","Thousand passengers","739",""
"2007","BG34","Passengers carried (arrival)","Thousand passengers","969",""
"2007","BG41","Passengers carried (arrival)","Thousand passengers","1,339",""
"2007","CZ01","Passengers carried (arrival)","Thousand passengers","6,180",""
"2007","CZ04","Passengers carried (arrival)","Thousand passengers","31",""
"2007","CZ05","Passengers carried (arrival)","Thousand passengers",":",""
"2007","CZ06","Passengers carried (arrival)","Thousand passengers","190",""
"2007","CZ08","Passengers carried (arrival)","Thousand passengers","149",""
"2007","DK01","Passengers carried (arrival)","Thousand passengers","10,721",""
"2007","DK02","Passengers carried (arrival)","Thousand passengers","7",""
"2007","DK03","Passengers carried (arrival)","Thousand passengers","1,216",""
"2007","DK04","Passengers carried (arrival)","Thousand passengers","393",""
"2007","DK05","Passengers carried (arrival)","Thousand passengers","492",""
"2007","DE11","Passengers carried (arrival)","Thousand passengers","5,126",""
"2007","DE12","Passengers carried (arrival)","Thousand passengers","512",""
"2007","DE13","Passengers carried (arrival)","Thousand passengers","0",""
"2007","DE14","Passengers carried (arrival)","Thousand passengers","308",""
"2007","DE21","Passengers carried (arrival)","Thousand passengers","16,916",""
"2007","DE22","Passengers carried (arrival)","Thousand passengers","0",""
"2007","DE24","Passengers carried (arrival)","Thousand passengers","12",""
"2007","DE25","Passengers carried (arrival)","Thousand passengers","2,120",""
"2007","DE27","Passengers carried (arrival)","Thousand passengers","43",""
"2007","DE30","Passengers carried (arrival)","Thousand passengers","6,849",""
"2007","DE40","Passengers carried (arrival)","Thousand passengers","3,157",""
"2007","DE50","Passengers carried (arrival)","Thousand passengers","1,109",""
